Katy Jurado
Amy Madigan
Taraji P. Henson
Dean Jagger
Marlene Dietrich
Claudette Colbert
James Earl Jones
Jason Miller
Rupert Crosse
Marjorie Main
Richard Burton
Janet Leigh
Edward James Olmos
Ellen Burstyn
Judd Hirsch
Cynthia Erivo
Maggie Gyllenhaal
Anthony Perkins
Diane Keaton
Robert Mitchum
Ann Sothern
Mary Steenburgen
Spring Byington
Don Ameche
Pete Postlethwaite
Deborah Kerr
Michael Dunn
Marie Dressler
Barbara Barrie
Tatum O'Neal
H. B. Warner
Catherine Keener
William Gargan
Helen Hunt
Mary J. Blige
George Clooney
Celeste Holm
Hermione Baddeley
Melanie Griffith
Tom Courtenay
Heath Ledger
Elizabeth McGovern
Vincent Gardenia
Gladys George
Chazz Palminteri
Jean Arthur
Simone Signoret
Patricia Arquette
Sam Jaffe
Jared Leto
Ruth Gordon
Michael O'Keefe
Steve Carell
Shelley Winters
Louise Dresser
Max von Sydow
Jean Simmons
Renée Zellweger
Benedict Cumberbatch
Rita Moreno
Bette Davis
Mariel Hemingway
Lesley Ann Warren
Saoirse Ronan
Quinn Cummings
William Powell
Marlon Brando
Fernanda Montenegro
Samantha Morton
John Wayne
Dorothy Malone
William Holden
Ryan Gosling
Felicity Jones
Richard Dix
Jan Sterling
Peter Sellers
Theodore Bikel
Sally Kellerman
Gary Sinise
Sean Penn
Margot Robbie
Gloria Swanson
Albert Basserman
Lotte Lenya
Barbara Bel Geddes
Ben Kingsley
Ray Milland
Michael Shannon
Joanne Woodward
Clive Owen
Jessica Lange
Susan Peters
Mary Ure
Alan Alda
Sylvia Sidney
Wallace Beery
Don Cheadle
Joan Lorring
Juanita Moore
Jodie Foster
Naomie Harris
Richard E. Grant
Angelina Jolie
Robin Williams
Tom Cruise
Liv Ullmann
Diana Ross
Paul Scofield
Woody Harrelson
Leslie Caron
Natalie Portman
Kate Hudson
Bérénice Bejo
Samantha Eggar
Tom Hardy
Diana Wynyard
Jennifer Tilly
Anthony Hopkins
Jack Nicholson
Luise Rainer
Adrien Brody
Peter Falk
Charles Bickford
Lew Ayres
Elliott Gould
Yul Brynner
Samuel L. Jackson
Juliette Binoche
Cate Blanchett
Toni Collette
James Cagney
Colette Marchand
Corinne Griffith
Doris Day
Dorothy Dandridge
Peter O'Toole
Dexter Gordon
Kevin Spacey
Kate Nelligan
Ed Wynn
Alan Arkin
Michael Redgrave
Ben Johnson
Frances McDormand
Giancarlo Giannini
Carol Channing
May Robson
Bette Midler
Michael Fassbender
Lee Tracy
James Woods
Julia Roberts
James Whitmore
Anthony Quinn
Edmund Gwenn
John Hurt
Ann-Margret
Sarah Miles
James Dean
Lewis Stone
Sophia Loren
Genevieve Bujold
Sam Elliott
Edmond O'Brien
John Gielgud
Marcia Gay Harden
Sharon Stone
Cliff Robertson
Vera Farmiga
Harrison Ford
Patty Duke
Angela Lansbury
Marie-Christine Barrault
Sal Mineo
Debbie Reynolds
Peter Ustinov
Lauren Bacall
Tim Roth
Chris Cooper
Cara Williams
Peggy Ashcroft
Susan Kohner
Margaret Sullavan
Robert Redford
F. Murray Abraham
Jean Dujardin
Donna Reed
Anna Kendrick
Ralph Richardson
Anne Hathaway
Ernest Borgnine
Arthur O'Connell
Albert Brooks
Gene Tierney
Charles Durning
Charles Coburn
Anne Shirley
Jane Wyman
Chris Sarandon
Carroll Baker
Anne Revere
James Gleason
Margaret Rutherford
Carrie Snodgress
Olympia Dukakis
Vittorio De Sica
Joan Blondell
Kevin Kline
Isabelle Huppert
J. Carrol Naish
Viola Davis
Rachel Weisz
Mercedes Ruehl
Robert Vaughn
Stuart Erwin
George Kennedy
Don Murray
Paul Winfield
Robert Ryan
Sir Laurence Olivier
Jessica Tandy
Howard E. Rollins Jr.
Demián Bichir
Bruce Dern
Grace Moore
Rosalind Russell
Julie Andrews
Greta Garbo
Scarlett Johansson
Spencer Tracy
Wendy Hiller
James Stephenson
Agnes Moorehead
Joyce Redman
Florence Pugh
Barry Fitzgerald
Jo Van Fleet
John Ireland
Julie Christie
Annette Bening
Walter Huston
Margaret Wycherly
Oscar Homolka
Roberto Benigni
Matthew McConaughey
Betty Compson
Whoopi Goldberg
Valerie Perrine
Ed Begley
Vivien Merchant
Carol Kane
Sean Connery
Shirley Jones
Olivia Colman
Chief Dan George
Ian Holm
Arthur Hunnicutt
Miyoshi Umeki
Katharine Hepburn
Robert Morley
Mo'Nique
Randy Quaid
Haley Joel Osment
Liam Neeson
Benicio Del Toro
Miliza Korjus
Dudley Moore
David Paymer
Beulah Bondi
Richard Todd
Allison Janney
Alec Guinness
Talia Shire
Lee Remick
Jeremy Irons
Amy Adams
Charlotte Rampling
Nick Adams
Louise Fletcher
Stockard Channing
Eva Marie Saint
Arthur Kennedy
Maureen Stapleton
Leonard Frey
Leo Genn
Ned Beatty
Brenda Blethyn
James Franco
Philip Seymour Hoffman
Ronald Colman
Ginger Rogers
Matt Dillon
Larry Parks
Jackie Earle Haley
Jamie Foxx
Laura Linney
Marina de Tavira
Victor McLaglen
Julianne Moore
Barbara Harris
Hal Holbrook
Hope Lange
Dev Patel
Richard Jaeckel
Cornel Wilde
Grace Kelly
Laura Dern
Jennifer Jason Leigh
Chiwetel Ejiofor
Eve Arden
Claire Trevor
Elisabeth Bergner
Goldie Hawn
Harvey Keitel
Stephen Rea
Greg Kinnear
Christopher Walken
Nancy Kelly
Joel Grey
Matt Damon
Catalina Sandino Moreno
Joan Allen
Anne Ramsey
River Phoenix
Chester Morris
Katina Paxinou
Shirley Booth
Brad Pitt
Halle Berry
Clifton Webb
Jeanne Crain
Jack Palance
Audrey Hepburn
Jeannie Berlin
Susan Sarandon
Helen Mirren
Minnie Driver
Imelda Staunton
Gene Wilder
Irene Dunne
Michelle Pfeiffer
Lena Olin
Yalitza Aparicio
Barbara Hershey
Una Merkel
Omar Sharif
Ali MacGraw
Geoffrey Rush
Flora Robson
Patty McCormack
Johnny Depp
Seymour Cassel
Robert Stack
Juliette Lewis
Casey Affleck
Judi Dench
Brad Dourif
Kenneth Branagh
John Travolta
Sally Kirkland
Marcello Mastroianni
Rock Hudson
Michael V. Gazzo
Norma Aleandro
Maggie Smith
Linda Hunt
Noriyuki 'Pat' Morita
Mary Elizabeth Mastrantonio
Tommy Lee Jones
Tom Wilkinson
Hilary Swank
Queen Latifah
Rachel Roberts
Cicely Tyson
Denholm Elliott
Henry Travers
William Demarest
Catherine Zeta-Jones
Marisa Pavan
Bobby Darin
Alexander Knox
Rod Steiger
Paul Giamatti
Rachel McAdams
Margaret Leighton
Tess Harper
Janet McTeer
Melissa McCarthy
Mary Pickford
Nigel Hawthorne
Sydney Greenstreet
Burt Reynolds
Bing Crosby
Sylvia Miles
Jack Warden
Beatrice Straight
Timothée Chalamet
Bradley Cooper
Burt Young
Anjelica Huston
Robert Shaw
Cuba Gooding Jr.
Maximilian Schell
Art Carney
Carole Lombard
Keira Knightley
Ralph Fiennes
Laurie Metcalf
Andy Garcia
Jude Law
Elizabeth Hartman
Fred Astaire
Adam Driver
Ellen Corby
Tom Tully
Gwyneth Paltrow
Sophie Okonedo
Janet Gaynor
Tony Curtis
Sam Shepard
Lee Marvin
Dorothy McGuire
James Dunn
Eddie Redmayne
Mildred Dunnock
Ralph Bellamy
Jack Albertson
Paul Newman
Gladys Cooper
Meg Tilly
Joan Crawford
Gary Busey
Mischa Auer
Anthony Franciosa
Emmanuelle Riva
Lillian Gish
Gregory Peck
Brandon De Wilde
Joan Cusack
Margaret Avery
Elisabeth Shue
Warner Baxter
Shohreh Aghdashloo
Gerard Depardieu
Loretta Young
Catherine Deneuve
Jeremy Renner
Susan Hayward
Robert Montgomery
Edna May Oliver
Claude Rains
Burgess Meredith
Danny Aiello
Frank Langella
Louis Gossett Jr.
Barbara Stanwyck
Franchot Tone
Michael J. Pollard
Laurence Harvey
Oprah Winfrey
Bessie Love
Martha Scott
Lorraine Bracco
Ian McKellen
Emma Stone
Martin Landau
Charles Chaplin
Thelma Ritter
Daniel Day-Lewis
Jesse Eisenberg
John Houseman
Mildred Natwick
Pauline Collins
Colin Firth
Burt Lancaster
Ann Blyth
Jon Voight
Woody Allen
Reese Witherspoon
Alice Brady
Alicia Vikander
Trevor Howard
Jocelyne Lagarde
Greer Garson
Tom Hanks
Lupita Nyong'o
Ellen Page
Lee Strasberg
Robert Duvall
Regina King
Rachel Griffiths
Clint Eastwood
Martha Hyer
Winona Ryder
Adriana Barraza
Massimo Troisi
Anne Baxter
Anouk Aimee
Barbara O'Neil
Jill Clayburgh
Michael Chekhov
James Cromwell
Katharine Ross
John Malkovich
Jennifer Hudson
Jacki Weaver
Timothy Hutton
Ron Moody
Richard Castellano
Alan Bates
Tuesday Weld
Andrew Garfield
Lawrence Tibbett
Cher
Kirk Douglas
George Chakiris
Marlee Matlin
Telly Savalas
June Squibb
Judith Anderson
Michael Douglas
Geraldine Fitzgerald
Barkhad Abdi
Victor Buono
Robert Donat
Miranda Richardson
Paul Lukas
Jack Lemmon
Robert Preston
Tom Conti
Cecil Kellaway
Octavia Spencer
Roy Scheider
Tom Hulce
Lindsay Crouse
Ruth Hussey
Kathleen Turner
Dean Stockwell
Candy Clark
Valentina Cortese
Hattie McDaniel
Walter Brennan
Eddie Murphy
Nicole Kidman
Jonah Hill
Naomi Watts
Ann Harding
Melvyn Douglas
Rip Torn
Quvenzhané Wallis
Monty Woolley
Steve McQueen
Keisha Castle-Hughes
Charles Boyer
Christian Bale
Chill Wills
Jean Hagen
Cathy Moriarty
Bonita Granville
Lady Gaga
Red Buttons
Warren Beatty
